"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","cluster"
"1","The Man from Monterey ",3.80252046409614e-05,3.80252046408948e-05,3.80252046409698e-05,3.80252046411069e-05,3.80252046409565e-05,3.80252046409083e-05,3.80252046409191e-05,0.999087395088617,3.80252046409402e-05,3.80252046409388e-05,3.80252046412035e-05,3.80252046409843e-05,3.80252046409212e-05,3.8025204641143e-05,3.80252046408958e-05,3.80252046409004e-05,3.80252046409591e-05,3.80252046409546e-05,3.80252046409928e-05,3.8025204640922e-05,3.80252046409254e-05,3.80252046409697e-05,3.80252046409096e-05,3.80252046409198e-05,3.80252046409575e-05,5
"2","Outlaws of the Rockies ",0.000145191802160133,0.000145191802160136,0.000145191802160129,0.000145191802160131,0.00014519180216013,0.000145191802160144,0.000145191802160134,0.867214324012181,0.000145191802160131,0.000145191802160145,0.000145191802160143,0.000145191802160135,0.000145191802160134,0.000145191802160131,0.000145191802160135,0.00014519180216013,0.000145191802160125,0.000145191802160133,0.000145191802160148,0.000145191802160139,0.000145191802160136,0.000145191802160126,0.000145191802160141,0.000145191802160142,0.129446264538136,5
"3","Overland Trails ",8.92779370020174e-05,8.92779370020136e-05,8.92779370020222e-05,8.92779370020275e-05,8.9277937002018e-05,8.92779370020264e-05,8.92779370020302e-05,0.997857329511951,8.92779370020339e-05,8.92779370020395e-05,8.92779370020332e-05,8.92779370020226e-05,8.92779370020221e-05,8.92779370020277e-05,8.92779370020315e-05,8.92779370020225e-05,8.92779370020463e-05,8.92779370020339e-05,8.92779370020244e-05,8.92779370020354e-05,8.92779370020292e-05,8.9277937002028e-05,8.92779370020293e-05,8.9277937002022e-05,8.92779370020554e-05,5
"4","The Mirror Man ",0.000161259187089074,0.000161259187089076,0.000161259187089062,0.000161259187089069,0.000161259187089064,0.000161259187089059,0.000161259187089067,0.996129779509862,0.000161259187089074,0.000161259187089062,0.000161259187089075,0.000161259187089069,0.000161259187089061,0.000161259187089066,0.00016125918708907,0.000161259187089075,0.000161259187089059,0.000161259187089085,0.000161259187089079,0.000161259187089062,0.000161259187089073,0.000161259187089062,0.000161259187089075,0.000161259187089056,0.00016125918708908,5
"5","Law of the Panhandle ",9.33636963619835e-05,9.33636963619913e-05,9.33636963620127e-05,9.33636963619847e-05,9.336369636197e-05,9.33636963619741e-05,9.33636963619982e-05,0.731954270464811,9.33636963619809e-05,9.33636963620141e-05,9.33636963619927e-05,9.33636963619947e-05,9.33636963619888e-05,9.33636963619797e-05,9.33636963619945e-05,9.33636963619755e-05,9.33636963619791e-05,9.33636963619868e-05,9.33636963619795e-05,9.3363696361975e-05,9.33636963619892e-05,9.33636963619912e-05,9.33636963619877e-05,9.33636963619805e-05,0.265898364518864,5
"6","Anonymity: The History of Straight, Incorporated ",9.97550298161727e-05,9.97550298161835e-05,9.97550298161901e-05,9.97550298161937e-05,9.97550298161687e-05,9.97550298161834e-05,9.9755029816215e-05,0.997605879284412,9.97550298161835e-05,9.9755029816176e-05,9.9755029816179e-05,9.97550298161792e-05,9.97550298161875e-05,9.9755029816182e-05,9.97550298161841e-05,9.97550298161814e-05,9.97550298161771e-05,9.97550298161826e-05,9.97550298161825e-05,9.97550298161923e-05,9.9755029816187e-05,9.97550298161753e-05,9.97550298161818e-05,9.97550298161827e-05,9.97550298161767e-05,5
"7","Bad Men of Tombstone ",0.000156316756342517,0.000156316756342532,0.000156316756342513,0.000156316756342518,0.000156316756342505,0.000156316756342511,0.000156316756342524,0.888051357765428,0.000156316756342515,0.000156316756342495,0.000156316756342512,0.000156316756342528,0.000156316756342529,0.000156316756342528,0.000156316756342528,0.000156316756342532,0.000156316756342528,0.00015631675634253,0.000156316756342522,0.000156316756342523,0.000156316756342503,0.00015631675634251,0.000156316756342518,0.000156316756342538,0.108353356838694,5
"8","The Shopper's Secret ",0.00019153975283777,0.000191539752837779,0.000191539752837771,0.000191539752837776,0.000191539752837779,0.000191539752837768,0.000191539752837776,0.995403045931893,0.000191539752837775,0.000191539752837782,0.000191539752837771,0.000191539752837778,0.000191539752837778,0.000191539752837769,0.000191539752837758,0.000191539752837778,0.000191539752837764,0.000191539752837771,0.000191539752837765,0.000191539752837772,0.000191539752837772,0.000191539752837787,0.000191539752837781,0.000191539752837772,0.000191539752837779,5
"9","Molly and Lawless John ",0.000241402176649012,0.000241402176649019,0.000241402176649031,0.000241402176649022,0.00024140217664901,0.000241402176649024,0.00024140217664902,0.994206347760423,0.000241402176649023,0.000241402176649008,0.000241402176649016,0.000241402176649018,0.00024140217664903,0.000241402176649029,0.000241402176649018,0.000241402176648997,0.00024140217664902,0.000241402176649015,0.000241402176649016,0.000241402176649013,0.000241402176649019,0.000241402176649021,0.000241402176649021,0.000241402176649008,0.000241402176649025,5
"10","Romance Rides the Range ",0.000121066409509173,0.000121066409509156,0.000121066409509172,0.00012106640950917,0.000121066409509169,0.000121066409509158,0.000121066409509169,0.99709440617178,0.000121066409509162,0.000121066409509175,0.000121066409509183,0.000121066409509165,0.000121066409509172,0.000121066409509161,0.000121066409509165,0.000121066409509164,0.000121066409509186,0.000121066409509168,0.000121066409509153,0.000121066409509169,0.000121066409509158,0.000121066409509172,0.000121066409509169,0.000121066409509163,0.00012106640950919,5
