"","document","topic","gamma"
"1","Belly of the Beast ",1,3.08865917293664e-05
"2","King of the Pecos ",1,4.14223111513666e-05
"3","A Loving Gentleman ",1,3.69240422196625e-05
"4","French Baroque: Now and Then ",1,0.998699578624084
"5","Robbers of the Range ",1,5.30568833122396e-05
"6","The Christmas Ornament ",1,3.94975944485533e-05
"7","The Return of Wild Bill ",1,4.85146662504318e-05
"8","The Prototypes ",1,4.67363917095401e-05
"9","Hunted by Night ",1,6.40510563375671e-05
"10","Islam in the Heart of the People ",1,0.000125536278170213
"11","You Are the One ",1,4.99397867195236e-05
"12","Fighting Man of the Plains ",1,8.20928797497645e-05
"13","Riders of the Purple Sage ",1,0.999274107625947
"14","The Outlaw Josey Wales ",1,5.59680177132096e-05
"15","Heroes of the Hills ",1,6.52807971786765e-05
"16","Phantom of the Desert ",1,7.95325780844017e-05
"17","Road to Rio: The U.S. Paralympic Team Trials ",1,9.69117914204721e-05
"18","The Boss Rider of Gun Creek ",1,6.28667898703301e-05
"19","The Dancer's Peril ",1,4.652323173917e-05
"20","The Freedom Quest of Oney Judge ",1,6.09874204755322e-05
"21","The Last Challenge ",1,9.97550298162026e-05
"22","Flipping the Score ",1,5.27823399357853e-05
"23","For the Service ",1,7.43175174755453e-05
"24","Moses: Fallen. In the City of Angels. ",1,0.000111779633313984
"25","South of St. Louis ",1,5.75467606018996e-05
"26","The Goose Girl ",1,4.96964806661714e-05
"27","The Man from Monterey ",1,3.80252046409614e-05
"28","The Outlaw Deputy ",1,7.65483534269944e-05
"29","The Purifiers ",1,6.5280797178685e-05
"30","Truthful Tulliver ",1,5.3334297655271e-05
"31","Age of Wonders ",1,6.06249503178362e-05
"32","Feud of the West ",1,8.927793700204e-05
"33","Futbaal: The Price of Dreams ",1,5.95629384702501e-05
"34","Goodnight for Justice: The Measure of a Man ",1,7.54164418963908e-05
"35","Outlaws of the Rockies ",1,0.000145191802160133
"36","Overland Trails ",1,8.92779370020174e-05
"37","Party Like the Queen of France ",1,4.43006718642242e-05
"38","Rough and Ready ",1,0.000147288282969961
"39","Streets of Ghost Town ",1,4.76089293725225e-05
"40","The Hanging Tree ",1,5.4766052357744e-05
"41","The Mirror Man ",1,0.000161259187089074
"42","Under the Tonto Rim ",1,8.92779370020316e-05
"43","""Berlin 1936: Games of the XI Olympiad"" ",1,5.78732577617845e-05
"44","""Boss and Me"" ",1,0.000266643541740059
"45","Battles Bouts and Brawls: The Story of Pro Wrestling in Detroit and the Surrounding Areas ",1,9.33636963619919e-05
"46","Buckaroo Sheriff of Texas ",1,7.95325780844032e-05
"47","Cocos 1914: The Encounter Between HMAS Sydney and SMS Emden ",1,7.71271470218882e-05
"48","Code of the Range ",1,6.83424403107389e-05
"49","Hot Popcorn: Movie Awards Greatest Moments ",1,8.85033248094461e-05
"50","Jumbish: A Movement - The Movie ",1,0.000102770142963123
"51","Not Even the Devil ",1,0.996703106813306
"52","Riders in the Sky ",1,8.14374737990981e-05
"53","Romance Complicated ",1,8.20928797497491e-05
"54","Summer in the Vineyard ",1,5.19754967435389e-05
"55","The Dream of Alvareen ",1,0.000108221850068881
"56","The Forty-Niners ",1,3.91940645050725e-05
"57","The Great Lion Kun Seng Keng ",1,9.08685641994307e-05
"58","The Pocatello Kid ",1,9.42261386198283e-05
"59","The Ranger, the Cook and a Hole in the Sky ",1,0.000130348862416114
"60","The Riding Tornado ",1,6.69958355639445e-05
"61","The Roaring West ",1,4.89805822055692e-05
"62","The Vanishing Outpost ",1,8.62580924803688e-05
"63","Trail of Terror ",1,6.02667632848296e-05
"64","""King of the Palace"" ",1,9.08685641994047e-05
"65","Cowboy and the Prizefighter ",1,7.37799780635572e-05
"66","Dawn of Twilight ",1,0.000235821270080383
"67","Fall of the Unknown ",1,8.77420387038049e-05
"68","Ghost Town: The Movie ",1,5.8537494128153e-05
"69","Infinity: Chronicles of Nick ",1,0.000100740215917529
"70","Last of the Romantics ",1,6.61271981692357e-05
"71","Law of the Golden West ",1,0.997997539420103
"72","Law of the Lash ",1,9.51046629655488e-05
"73","Law of the Panhandle ",1,9.33636963619835e-05
"74","Party Like the Rich and Famous ",1,5.53605116560076e-05
"75","The End of the Game ",1,0.000122520573140038
"76","The Fibro Guy's Graded Exercise Programme for Fibromyalgia ",1,8.92779370020274e-05
"77","The Gambler Returns: The Luck of the Draw ",1,0.000111779633313972
"78","The Gunfighter ",1,5.92171549831895e-05
"79","The Life and Times of Gangsta Brown Part 2 ",1,7.65483534269978e-05
"80","The Outlaw Henry Starr ",1,0.000130348862416121
"81","The Phantom Creeps ",1,4.76089293725334e-05
"82","The Whispering Skull ",1,7.43175174755417e-05
"83","The Wipers Times ",1,0.998664097428597
"84","""The Keepers"" ",1,0.000133767624283885
"85","Alien Blast the Encounter ",1,0.000118259235579332
"86","Anna to the Infinite Power ",1,0.000202973821674599
"87","Anonymity: The History of Straight, Incorporated ",1,9.97550298161727e-05
"88","Art of War 3 ",1,0.000128704185817254
"89","Bad Men of Tombstone ",1,0.000156316756342517
"90","Best of Severe Offroad ",1,0.00014944619460431
"91","Comin' 'Round the Mountain ",1,7.12048507644078e-05
"92","Feud of the Trail ",1,3.47835546113923e-05
"93","Goodnight for Justice: Queen of Hearts ",1,9.2516898604059e-05
"94","Hawk of the Hills ",1,0.000115579291769965
"95","Headin' for Trouble ",1,9.33636963619781e-05
"96","Heart of the West ",1,7.02244391403236e-05
"97","How to Dance Through Time, Vol II: Dances of the Ragtime Era 1910-1920 ",1,8.92779370020148e-05
"98","Kurt Busch the Outlaw ",1,7.89172628460311e-05
"99","Last Man in Dhaka Central: The Young Man Was, Part III ",1,5.22416896386763e-05
"100","Law and Order ",1,0.000115579291769974
"101","Lure of the Wasteland ",1,0.000132036116876839
"102","Matt Mercury, Plot of the Galactic Mastermind ",1,0.000108221850068877
"103","Outcasts of the Trail ",1,0.000111779633313967
"104","Partners of the Trail ",1,4.85146662504293e-05
"105","Peace and War ",1,0.000289333383436146
"106","Pioneers of the West ",1,4.76089293725471e-05
"107","Return of the Monster Trucks ",1,0.000235821270080385
"108","Ride to Hell: Retribution ",1,0.000104883558849833
"109","Riders of the Dawn ",1,0.000119646359148794
"110","Saga of Love: The Kingdom of Angels ",1,0.000188009392263239
"111","Shakedown: Return of the Sontarans ",1,0.000169288022382446
"112","Song of the Caballero ",1,0.000113018120038566
"113","Sons of the Saddle ",1,0.000141172930678043
"114","Sports Humanitarian of the Year Awards ",1,0.000220526412496921
"115","Story of the Christmas Carol ",1,0.000181325209363145
"116","The Art of Racing Sailing ",1,8.62580924803702e-05
"117","The Cattle Thief ",1,8.27589206586564e-05
"118","The Challenge of Rin Tin Tin ",1,0.000253395822602575
